date,count,uniques
"2026-08-02",21,15
"2026-08-03",16,12
"2026-08-04",20,11
"2026-08-05",18,11
"2026-08-06",15,9
"2026-08-07",23,14
"2026-08-08",14,8
"2026-08-09",9,5
"2026-08-10",33,21
"2026-08-11",24,11
"2026-08-12",26,15
"2026-08-13",34,17
"2026-08-14",29,16
"2026-08-15",24,12
"2026-08-16",32,16
"2026-08-17",42,27
